execution_id,asm_name,rule_signature,tot_conditional_rules,covered_true_conditional_rules,covered_false_conditional_rules,tot_update_rules,covered_update_rules,failing_scenarios
exec_Ascensore_ef11beab-b016-4872-ace1-d14b61e1b3a5,Ascensore,r_Main(),6,6,3,7,7,none
exec_CashPoint_b0d8abfe-fd2d-44ea-8f3f-2d69e12f2053,CashPoint,"r_insertedCard(Till,Card)",1,1,0,2,2,none
exec_CashPoint_b0d8abfe-fd2d-44ea-8f3f-2d69e12f2053,CashPoint,r_main(),0,0,0,0,0,none
exec_CashPoint_b0d8abfe-fd2d-44ea-8f3f-2d69e12f2053,CashPoint,r_validPin(Till),2,0,1,2,0,none
exec_CashPoint_b0d8abfe-fd2d-44ea-8f3f-2d69e12f2053,CashPoint,r_enterPin(Till),4,0,1,3,0,none
exec_CashPoint_b0d8abfe-fd2d-44ea-8f3f-2d69e12f2053,CashPoint,r_insertCard(Till),0,0,0,0,0,none
exec_Certifier_nochoose_noundef_0b6cba50-6efd-426c-8e92-7feb7540ec93,Certifier_nochoose_noundef,r_rightAnswer(),1,1,0,0,0,none
exec_Certifier_nochoose_noundef_0b6cba50-6efd-426c-8e92-7feb7540ec93,Certifier_nochoose_noundef,r_wrongAnswer(),1,1,1,1,1,none
exec_Certifier_nochoose_noundef_0b6cba50-6efd-426c-8e92-7feb7540ec93,Certifier_nochoose_noundef,r_checkanswer(),1,1,1,0,0,none
exec_Certifier_nochoose_noundef_0b6cba50-6efd-426c-8e92-7feb7540ec93,Certifier_nochoose_noundef,r_wrongCheckLevel(),1,1,1,1,1,none
exec_Certifier_nochoose_noundef_0b6cba50-6efd-426c-8e92-7feb7540ec93,Certifier_nochoose_noundef,r_chooseshape(),0,0,0,4,4,none
exec_Certifier_nochoose_noundef_0b6cba50-6efd-426c-8e92-7feb7540ec93,Certifier_nochoose_noundef,r_2ErrorGoBack(),1,1,1,5,5,none
exec_Certifier_nochoose_noundef_0b6cba50-6efd-426c-8e92-7feb7540ec93,Certifier_nochoose_noundef,r_rightAnswNoLoop(),0,0,0,3,3,none
exec_Certifier_nochoose_noundef_0b6cba50-6efd-426c-8e92-7feb7540ec93,Certifier_nochoose_noundef,r_goOut(),0,0,0,2,2,none
