model_path	num_tps	time_taken_ms	NUSMV?
0	../../../../asm_examples/examples/simple_example/population.asm	1	org.asmeta.parser.TokenMgrError: Lexical error at line 192, column 23.  Encountered: '49' (49), after prefix "!"
1	../../../../asm_examples/examples/RushHour/RushHour.asm	1	[]
2	../../../../asm_examples/examples/fsmsemantics/FSM_hooking.asm	1	org.asmeta.parser.ParseException: Encountered " "=" "="" at line 59, column 28.

Was expecting:

"then" ...
     Line: 59 column: 26
3	../../../../asm_examples/examples/NeedhamSchroeder/NeedhamSchroederWithSpy.asm	1	org.asmeta.parser.ParseException: Encountered " "=" "="" at line 242, column 27.

Was expecting:

"then" ...
     Line: 242 column: 25
4	../../../../asm_examples/examples/coffeeVendingMachine/coffeeVendingMachine.asm	1	[]
5	../../../../asm_examples/examples/sleepingBarber/sleepingBarber.asm	1	[]
6	../../../../asm_examples/examples/coffeeVendingMachine/coffeeVendingMachine_flat.asm	1	[]
7	../../../../asm_examples/examples/flashProtocol/flashProtocol_N2_L1_Q1_C.asm	1	[C:\Users\angel\Documents\codefromrepos\asmeta\asmeta\code\experimental\asmeta.evotest\asmeta.evotest.experiments\scenarios\scenario_007.avalla]
8	../../../../asm_examples/examples/petriNets/petriNetEdgeWeightNoPlaceCapacity_NoSeq_Matrix_v2.asm	1	[]
9	../../../../asm_examples/examples/GilbreathCardTrick/GilbreathCardTrick.asm	1	java.lang.NullPointerException: Cannot invoke "String.trim()" because the return value of "org.asmeta.avallaxt.avalla.Check.getExpression()" is null
10	../../../../asm_examples/examples/fsmsemantics/FSM_hooking2.asm	1	[]
11	../../../../asm_examples/examples/petriNets/forAsmetaSMV/petriNet_forNuSMV_flat.asm	1	[]
12	../../../../asm_examples/RTPatternLibrary/Test/Test_Sem_Sync.asm	1	org.asmeta.parser.ParseException: Encountered " "=" "="" at line 238, column 20.

Was expecting:

"then" ...
     Line: 238 column: 18
13	../../../../asm_examples/examples/petriNets/petriNetNoEdgeWeightNoPlaceCapacity_seq.asm	1	[]
14	../../../../asm_examples/examples/GilbreathCardTrick/GilbreathCardTrick_flat.asm	1	java.lang.NullPointerException: Cannot invoke "String.trim()" because the return value of "org.asmeta.avallaxt.avalla.Check.getExpression()" is null
15	../../../../asm_examples/examples/SemaforiAttraversamentoPedonale.asm	1	java.lang.AssertionError: undef
prenotazione
16	../../../../asm_examples/examples/petriNets/petriNetNoEdgeWeightNoPlaceCapacity_NoSeq_Matrix.asm	1	[]
17	../../../../asm_examples/examples_for_nuXmv/FunctionInt.asm	1	[]
18	../../../../asm_examples/examples/petriNets/petriNetNoEdgeWeightNoPlaceCapacity_NoSeq.asm	1	[]
19	../../../../asm_examples/examples/authenticationProtocols/groundModel.asm	1	org.asmeta.parser.TokenMgrError: Lexical error at line 174, column 29.  Encountered: '50' (50), after prefix "!"
20	../../../../asm_examples/examples/RushHour/emptyCellAs0/RushHourSimplForAsmetaSMV_EmptyAs0.asm	1	[]
21	../../../../asm_examples/examples/authenticationProtocols/groundModel_v2.asm	1	org.asmeta.parser.TokenMgrError: Lexical error at line 166, column 29.  Encountered: '49' (49), after prefix "!"
22	../../../../asm_examples/examples/simple_example/Scheduler.asm	1	[]
23	../../../../asm_examples/examples/simple_example/MorraCinese/withActors/MorraCinese_withActors_raff3.asm	1	org.asmeta.parser.ParseException: Error: The domain of the function body must be compatible with the function codomain Natural.
       At the initialization of the function maxNumberOfPlaysInit(). Line: 347 column: 41
24	../../../../asm_examples/examples/GilbreathCardTrick/GilbreathCardTrickSimpl.asm	1	java.lang.NullPointerException: Cannot invoke "String.trim()" because the return value of "org.asmeta.avallaxt.avalla.Check.getExpression()" is null
25	../../../../asm_examples/examples/sultanSuccessors/sultanGreedy.asm	1	org.asmeta.parser.ParseException: Error: The variable $r2 cannot be bound to a value in the ForallTerm. It is already used. Line: 645 column: 97
26	../../../../asm_examples/examples/models/SwapSortMon.asm	1	org.asmeta.parser.ParseException: Problems in creating Function Term (vect) Line: 38 column: 15
27	../../../../asm_examples/examples/fsmsemantics/meta_hooking/myFSM.asm	1	java.lang.RuntimeException: r_run is not defined in the main asm
28	../../../../asm_examples/examples/cards.asm	1	[]
29	../../../../asm_examples/examples/petriNets/forAsmetaSMV/petriNet_forNuSMV.asm	1	[]
30	../../../../asm_examples/examples/simple_example/SwapSort.asm	1	[]
31	../../../../asm_examples/examples/simple_example/MorraCinese/MorraCinese_raff3.asm	1	org.asmeta.parser.ParseException: Error: The domain of the function body must be compatible with the function codomain Natural.
       At the initialization of the function maxNumberOfPlaysInit(). Line: 390 column: 41
32	../../../../asm_examples/examples/parking.asm	1	[]
33	../../../../asm_examples/examples/GilbreathCardTrick/GilbreathCardTrickForAsmetaSMV_flat.asm	1	java.lang.NullPointerException: Cannot invoke "String.trim()" because the return value of "org.asmeta.avallaxt.avalla.Check.getExpression()" is null
34	../../../../asm_examples/examples/simple_example/MorraCinese/MorraCinese_raff1.asm	1	[]
35	../../../../asm_examples/examples/petriNets/forAsmetaSMV/petriNet_forNuSMV_notLive_bound1_deadlockFree.asm	1	[]
36	../../../../asm_examples/examples/Yahalom/FlawedYahalom.asm	java.lang.AssertionError: shrkeyB
37	../../../../asm_examples/examples/filosofiEciliegie/filosofiEciliegieJustLeft.asm	1	[]
38	../../../../asm_examples/examples/simple_example/population_raff1_twoPersons.asm	1	org.asmeta.parser.TokenMgrError: Lexical error at line 159, column 23.  Encountered: '50' (50), after prefix "!"
39	../../../../asm_examples/examples/agents/processesSchedulerShortestJobNext.asm	1	java.lang.RuntimeException: Unknown function org.asmeta.parser.util.AsmetaTermPrinter@317334f5 visit(interface asmeta.terms.furtherterms.ExistsUniqueTerm)
40	../../../../asm_examples/examples/petriNets/forModelAdvisor/petriNet_forModelAdvisor_InconsUpdateViolation.asm	org.asmeta.simulator.UpdateClashException: tokens(p1) updated to 0 and 2
41	../../../../asm_examples/examples/philosophers/philosophers3_flat.asm	1	org.asmeta.parser.ParseException: Error reading relationalExpr  Line: 4179 column: 25
42	../../../../asm_examples/examples/simple_example/MorraCinese/MorraCinese_raff2.asm	1	org.asmeta.parser.ParseException: Error: The domain of the function body must be compatible with the function codomain Natural.
       At the initialization of the function maxNumberOfPlaysInit(). Line: 378 column: 41
43	../../../../asm_examples/examples/giocoDelleTreScatole.asm	1	[]
44	../../../../asm_examples/examples/simple_example/MorraCinese/withActors/MorraCinese_withActors_raff1.asm	1	[]
45	../../../../asm_examples/examples/NeedhamSchroeder/NeedhamSchroeder.asm	1	org.asmeta.parser.TokenMgrError: Lexical error at line 168, column 29.  Encountered: '49' (49), after prefix "!"
46	../../../../asm_examples/examples/filosofiEciliegie/filosofiEciliegie.asm	1	[]
47	../../../../asm_examples/examples/agents/populationAgent_raff1_fourPersons.asm	1	org.asmeta.parser.TokenMgrError: Lexical error at line 259, column 20.  Encountered: '52' (52), after prefix "!"
48	../../../../asm_examples/examples/fsmsemantics/meta_hooking/FSM.asm	0
49	../../../../asm_examples/examples/ticTacToe/ticTacToe_simulator_flat.asm	1	[]
50	../../../../asm_examples/examples/battleship.asm	1	[]
51	../../../../asm_examples/examples/ermts_etcs/scenarios/ertms_hl3_scenario9.asm	org.asmeta.simulator.UpdateClashException: vss_states(vss_11) updated to AMBIGUOUS and FREE
52	../../../../asm_examples/examples/simple_example/Invariants.asm	1	[]
