execution_id,asm_name,rule_signature,tot_conditional_rules,covered_true_conditional_rules,covered_false_conditional_rules,tot_update_rules,covered_update_rules,failing_scenarios
aggregate_values_Ascensore,Ascensore,r_Main(),6,6,4,7,7,none
aggregate_values_ATM3v2,ATM3v2,r_chooseService(),5,0,1,4,0,none
aggregate_values_ATM3v2,ATM3v2,r_enterPin(),2,1,2,3,1,none
aggregate_values_ATM3v2,ATM3v2,r_Main(),2,0,2,1,0,none
aggregate_values_ATM3v2,ATM3v2,r_insertcard(),2,2,1,2,2,none
aggregate_values_ATM3v2,ATM3v2,r_chooseAmount(),3,0,1,2,0,none
aggregate_values_ATM3v2,ATM3v2,r_prelievo(),6,0,2,0,0,none
aggregate_values_CashPoint,CashPoint,r_main(),0,0,0,0,0,none
aggregate_values_CashPoint,CashPoint,"r_insertedCard(Till,Card)",1,1,0,2,2,none
aggregate_values_CashPoint,CashPoint,r_validPin(Till),2,0,1,2,0,none
aggregate_values_CashPoint,CashPoint,r_insertCard(Till),0,0,0,0,0,none
aggregate_values_CashPoint,CashPoint,r_enterPin(Till),4,0,1,3,0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_rightAnswer(),1,1,1,0,0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_2ErrorGoBack(),1,1,1,5,5,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_exit(),2,0,1,2,0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_setCertifier(),1,1,1,2,2,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_wrong(),1,1,1,2,2,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_chooseshape(),0,0,0,4,4,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_wrongCheckLevel(),1,1,1,1,1,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_skip(),1,1,1,1,1,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_test(),3,3,3,0,0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_wrongAnswer(),1,1,1,1,1,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_rightAnswNoLoop(),0,0,0,3,3,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_rightAnswLoop(),1,1,1,2,2,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_Main(),1,1,1,0,0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_checkanswer(),1,1,1,0,0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_level1(),1,1,1,3,3,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_levelno1(),1,1,1,0,0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_goOut(),0,0,0,2,2,none
aggregate_values_CoffeeVendingMachineNC,CoffeeVendingMachineNC,r_serveProduct(Product),0,0,0,2,2,none
